"","foods","cluster","category"
"1","bacon","fats","HFLS"
"2","chips","fats","HFLS"
"3","french_fries","fats","HFLS"
"4","fried_chicken","fats","HFLS"
"5","grilled_cheese","fats","HFLS"
"6","hot_dog","fats","HFLS"
"7","mac_and_cheese","fats","HFLS"
"8","onion_ring","fats","HFLS"
"9","sausage","fats","HFLS"
"10","cake","sweets","HFHS"
"11","chocolate_candy","sweets","HFHS"
"12","cinnamon_roll","sweets","HFHS"
"13","cookie","sweets","HFHS"
"14","crepe","sweets","HFHS"
"15","doughnut","sweets","HFHS"
"16","ice_cream","sweets","HFHS"
"17","muffin","sweets","HFHS"
"18","pie","sweets","HFHS"
"19","bean","starches","LFLS"
"20","broccoli","veggies","LFLS"
"21","cauliflower","veggies","LFLS"
"22","mushroom","veggies","LFLS"
"23","potato","starches","LFLS"
"24","rice","starches","LFLS"
"25","soup","starches","LFLS"
"26","squash","veggies","LFLS"
"27","tomato","veggies","LFLS"
"28","apple","fruits","LFHS"
"29","candy_cane","sweets","LFHS"
"30","gummy_bear","sweets","LFHS"
"31","jelly_bean","sweets","LFHS"
"32","pineapple","fruits","LFHS"
"33","popsicle","sweets","LFHS"
"34","raspberry","fruits","LFHS"
"35","strawberry","fruits","LFHS"
"36","watermelon","fruits","LFHS"
