"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","kcal","fat","total.carb","sugar","P_rating","fat_est","sugar_est","health"
"bacon",0.659697310234505,1.21702468185658,-0.0203190111857048,0.351080209742309,0.259642425563609,468,35.09,1.7,0,4.91,5.79,2.97,3.49
"chips",0.838959802586269,0.856099359081907,-0.172935144793704,0.277239329754712,-0.552867630014041,532,33.98,53.83,0.33,5.63,5.35,3.05,2.73
"french_fries",0.67276892608503,1.06937748715416,-0.165701662143559,0.350058757971425,-0.397693469210406,289,14.04,37.2,0.28,5.75,5.73,3.06,2.76
"fried_chicken",0.737241006933189,1.36397158053734,0.0536937518203684,0.236399936868942,-0.0394021472223779,289,17.35,9.42,0,5.19,6.02,3.05,3.45
"grilled_cheese",0.851882638703354,1.13302018761323,0.265547491676603,0.110015593611877,0.177653121286534,331,19.22,28.7,5.03,5.34,5.38,4.17,3.4
"hot_dog",0.779915546271261,1.15253645186994,0.105858245461003,0.360288327541802,0.304515018137126,308,18.2,23.81,3.95,5.9,5.56,3.89,3.19
"mac_and_cheese",0.386084869535778,1.21883897924791,0.10441642719374,-0.0803727356846038,0.190248184562164,164,4.99,23.1,1.57,5.56,5.49,3.8,3.18
"onion_ring",0.782817744531465,1.14920087959756,0.0739363137807503,0.220127547545632,-0.31641559415366,411,25.23,43.58,5.43,5.53,5.44,3.13,2.83
"sausage",0.466023758173645,1.31867967919705,-0.0070541785728508,0.310863496566093,0.380100025175665,325,27.25,1.42,1.09,5.25,5.72,3.57,3.57
"cake",0.949917451257972,-0.990843723619566,0.495034535958398,-0.205507932073567,0.04872253573274,429,26.71,45.74,34.04,5.49,5.52,6.32,3.17
"chocolate_candy",1.16550856107406,-0.962050912802861,-0.292560197779656,-0.164218512939721,-0.0941862650615278,535,29.66,59.4,51.5,5.44,5.03,6.28,3.28
"cinnamon_roll",1.37030861398443,-0.331176858925934,0.532972779771015,-0.342143364348387,-0.0158268120353946,452,26.61,48.6,25.7,5.68,5.59,6.07,2.96
"cookie",1.32452847377035,-0.489722699231032,0.200289984093341,-0.319987137813318,-0.268714992325332,473,23.82,58.15,28.58,5.39,5.04,5.46,3.12
"crepe",0.777817470495478,-0.544306864879957,0.715600429849663,-0.123385721307391,0.163957586755151,183,6.95,26.38,16.25,5.31,5.4,5.63,3.72
"doughnut",1.31374130423074,-0.568829537404598,0.233321816857142,-0.173854868784111,-0.196809303599788,421,22.7,47.93,22.75,5.98,5.66,6.31,2.69
"ice_cream",1.0635203025947,-0.953618402788725,-0.181651775554479,-0.0418527400440186,-0.0481035901422994,207,11,23.6,21.22,5.54,4.72,6.1,2.87
"muffin",1.16695530025753,-0.389450546195145,0.632760383307034,-0.392455494255688,-0.0175612103203405,375,16.07,53,31.47,5.43,5.04,5.81,3.42
"pie",0.473258260118825,-0.886110717232656,0.598976686055934,-0.0687961187435946,0.145311423006395,260,11,39.8,14.29,4.99,4.62,5.86,4.05
"bean",-0.580406516814349,0.345576939953189,-0.510714135056452,-0.381967901427709,0.227557484971463,46,0.66,7.71,1.24,3.54,3.29,3.24,5.38
"broccoli",-1.85794699939033,0.137579973886462,-0.0527529410637862,-0.285804197074871,-0.114289110656728,35,0.41,7.18,1.39,2.92,2.51,2.46,6.34
"cauliflower",-1.71518648857275,0.166540181012104,-0.148557810069384,-0.326596585809979,-0.102204137991206,25,0.28,4.97,1.91,2.86,2.53,2.28,6.31
"mushroom",-1.6369766443418,0.309405449989085,-0.0834070323849329,-0.317190795325329,-0.146686847802179,22,0.34,3.26,1.98,2.91,2.8,2.58,6.25
"potato",-1.11270272241949,0.739696892196029,0.00335307638940144,-0.0411470636082825,-0.479532285264572,87,0.15,19.59,1.43,3.07,3.16,3.22,5.38
"rice",-0.455204776502595,0.954296205714319,-0.304892209003995,-0.629229894465566,0.138795217718414,124,0.5,26.76,0,3.91,3.47,3.09,5.03
"soup",-0.685019670930414,0.91812019058797,-0.363737999813553,-0.558279658276106,0.368020698750068,65,0.9,12.11,4.31,4.21,3.44,2.75,5.69
"squash",-1.73241401162419,0.212553137739411,-0.0021552560351217,-0.171309945795139,-0.111425946266976,17,0.32,3.11,2.5,2.96,2.47,2.98,6.33
"tomato",-1.75969700476225,-0.157744067115352,0.0480775735823923,0.0663197470340187,-0.00232689911425947,18,0.2,3.89,2.63,3,2.56,3.17,6.28
"apple",-1.67339592909876,-0.564828041173633,0.261259258443224,0.312913026069619,-0.0725563103986079,52,0.17,13.81,10.39,2.88,2.39,4.29,6.18
"candy_cane",0.78095899864235,-1.1412297938817,-0.775112208395993,0.147848725290284,0.0549998254020772,357,0,100,78.57,5.74,3.59,5.7,2.55
"gummy_bear",0.788636913384751,-0.943150628753138,-0.845074282805046,0.0311387701578319,0.0744894433482446,300,0,72,48,5.87,3.86,5.91,2.54
"jelly_bean",0.766049500274497,-0.953273360507665,-0.845639590628409,0.0482557414188847,-0.0386309184742549,357,0,89.29,67.86,5.8,3.74,6.11,2.63
"pineapple",-1.43538958251749,-0.677324938321841,0.255643574211703,0.296393954821901,0.018148660061631,50,0.12,13.12,9.85,2.95,2.62,4.9,6.2
"popsicle",0.603764772520055,-1.13527312924071,-0.562818423737288,0.355790746381198,0.165753122006843,81,0.24,19.68,14.57,5.38,3.55,5.79,2.56
"raspberry",-1.32281208694948,-0.899603591105386,0.320479603489042,0.321860943596291,0.075785577527286,52,0.65,11.94,4.42,2.88,3.01,4.74,5.74
"strawberry",-1.35065999545107,-0.971384048540525,0.324821636735126,0.397963431969897,0.0912774206082302,32,0.3,7.68,4.89,2.87,2.58,4.67,6.14
"watermelon",-1.40254509628528,-0.702596395513806,0.109040290348036,0.429542381434665,0.13025569944031,30,0.15,7.55,6.2,2.71,2.32,4.63,6.02
